Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-07-26,ADANIPORTS,EQ,390.75,392.7,394.35,388.0,391.65,393.05,391.65,3243876,127046598205000.0,54869,2280093,0.7029000000000001
2017-07-27,ADANIPORTS,EQ,393.05,394.25,394.85,390.75,392.1,392.5,392.89,2847871,111890850565000.02,47239,1847120,0.6486
2017-07-28,ADANIPORTS,EQ,392.5,391.5,398.45,390.0,394.95,395.75,395.37,3203051,126640050880000.0,43131,1861850,0.5813
2017-07-31,ADANIPORTS,EQ,395.75,396.0,398.0,393.4,396.85,395.9,395.56,1581010,62537792540000.0,34896,932949,0.5901
2017-08-01,ADANIPORTS,EQ,395.9,397.45,405.3,396.45,404.0,404.0,402.75,3391013,136572038880000.0,36531,2099777,0.6192000000000001
2017-08-02,ADANIPORTS,EQ,404.0,405.0,413.5,402.65,411.5,411.25,406.85,2997197,121941830959999.98,43536,1794494,0.5987
2017-08-03,ADANIPORTS,EQ,411.25,411.9,411.9,402.65,407.75,407.35,406.95,2541125,103410571345000.0,20256,1557268,0.6128
2017-08-04,ADANIPORTS,EQ,407.35,406.0,410.4,403.1,407.3,406.65,405.67,2770532,112390892020000.0,32493,1518312,0.5479999999999999
2017-08-07,ADANIPORTS,EQ,406.65,411.8,421.5,408.5,413.3,414.25,414.15,3863466,160007050425000.0,35744,2426840,0.6282
2017-08-08,ADANIPORTS,EQ,414.25,414.95,418.8,410.15,415.5,414.8,414.93,2154068,89378026200000.0,25630,925537,0.42969999999999997
2017-08-09,ADANIPORTS,EQ,414.8,411.6,417.5,395.0,396.0,397.25,405.75,3603960,146230513760000.0,39965,1774426,0.4924
2017-08-10,ADANIPORTS,EQ,397.25,393.0,396.9,381.2,392.0,385.65,389.54,3177276,123768233640000.02,42847,1356635,0.42700000000000005
2017-08-11,ADANIPORTS,EQ,385.65,380.25,385.45,379.05,384.05,382.75,382.27,6480493,247726845680000.03,41510,4697771,0.7249
2017-08-14,ADANIPORTS,EQ,382.75,385.0,405.8,385.0,396.0,396.2,396.16,2746774,108815389540000.02,44795,1130427,0.4115
2017-08-16,ADANIPORTS,EQ,396.2,398.2,404.9,392.25,397.6,397.55,398.31,2644234,105322560125000.0,40172,1271593,0.48090000000000005
2017-08-17,ADANIPORTS,EQ,397.55,398.55,401.4,388.05,391.8,389.3,394.02,2502761,98614304850000.0,39362,1325282,0.5295000000000001
2017-08-18,ADANIPORTS,EQ,389.3,389.0,390.8,383.3,386.65,386.2,385.48,2554849,98483549525000.0,52449,1503217,0.5884
2017-08-21,ADANIPORTS,EQ,386.2,387.05,388.7,374.65,375.0,375.95,381.64,1999552,76310877320000.0,36090,1087194,0.5437
2017-08-22,ADANIPORTS,EQ,375.95,377.85,381.8,369.65,376.5,375.65,375.53,3245723,121885401475000.0,61987,1614009,0.49729999999999996
2017-08-23,ADANIPORTS,EQ,375.65,378.1,386.2,378.1,385.0,385.0,382.33,3003871,114846728420000.0,43788,1456435,0.48490000000000005
2017-08-24,ADANIPORTS,EQ,385.0,386.95,387.65,379.0,379.8,380.05,380.53,2507753,95426749020000.0,70769,1502442,0.5991
